日付	名称	曜日
2000-02-11	建国記念の日	金
2000-03-20	春分の日	月
2000-04-29	みどりの日	土
2000-05-03	憲法記念日	水
2000-05-04	休日	木
2000-05-05	こどもの日	金
2000-07-20	海の日	木
2000-09-15	敬老の日	金
2000-09-23	秋分の日	土
2000-10-09	体育の日	月
2000-11-03	文化の日	金
2000-11-23	勤労感謝の日	木
2000-12-23	天皇誕生日	土
2001-01-01	元日	月
2001-01-08	成人の日	月
2001-02-11	建国記念の日	日
2001-02-12	休日	月
2001-03-20	春分の日	火
2001-04-29	みどりの日	日
2001-04-30	休日	月
2001-05-03	憲法記念日	木
2001-05-04	休日	金
2001-05-05	こどもの日	土
2001-07-20	海の日	金
2001-09-15	敬老の日	土
2001-09-23	秋分の日	日
2001-09-24	休日	月
2001-10-08	体育の日	月
2001-11-03	文化の日	土
2001-11-23	勤労感謝の日	金
2001-12-23	天皇誕生日	日
2001-12-24	休日	月
2002-01-01	元日	火
2002-01-14	成人の日	月
2002-02-11	建国記念の日	月
2002-03-21	春分の日	木
2002-04-29	みどりの日	月
2002-05-03	憲法記念日	金
2002-05-04	休日	土
2002-05-05	こどもの日	日
2002-05-06	休日	月
2002-07-20	海の日	土
2002-09-15	敬老の日	日
2002-09-16	休日	月
2002-09-23	秋分の日	月
2002-10-14	体育の日	月
2002-11-03	文化の日	日
2002-11-04	休日	月
2002-11-23	勤労感謝の日	土
2002-12-23	天皇誕生日	月
2003-01-01	元日	水
2003-01-13	成人の日	月
2003-02-11	建国記念の日	火
2003-03-21	春分の日	金
2003-04-29	みどりの日	火
2003-05-03	憲法記念日	土
2003-05-05	こどもの日	月
2003-07-21	海の日	月
2003-09-15	敬老の日	月
2003-09-23	秋分の日	火
2003-10-13	体育の日	月
2003-11-03	文化の日	月
2003-11-23	勤労感謝の日	日
2003-11-24	休日	月
2003-12-23	天皇誕生日	火
2004-01-01	元日	木
2004-01-12	成人の日	月
2004-02-11	建国記念の日	水
2004-03-20	春分の日	土
2004-04-29	みどりの日	木
2004-05-03	憲法記念日	月
2004-05-04	休日	火
2004-05-05	こどもの日	水
2004-07-19	海の日	月
2004-09-20	敬老の日	月
2004-09-23	秋分の日	木
2004-10-11	体育の日	月
2004-11-03	文化の日	水
2004-11-23	勤労感謝の日	火
2004-12-23	天皇誕生日	木
2005-01-01	元日	土
2005-01-10	成人の日	月
2005-02-11	建国記念の日	金
2005-03-20	春分の日	日
2005-03-21	休日	月
2005-04-29	みどりの日	金
2005-05-03	憲法記念日	火
2005-05-04	休日	水
2005-05-05	こどもの日	木
2005-07-18	海の日	月
2005-09-19	敬老の日	月
2005-09-23	秋分の日	金
2005-10-10	体育の日	月
2005-11-03	文化の日	木
2005-11-23	勤労感謝の日	水
2005-12-23	天皇誕生日	金
2006-01-01	元日	日
2006-01-02	休日	月
2006-01-09	成人の日	月
2006-02-11	建国記念の日	土
2006-03-21	春分の日	火
2006-04-29	みどりの日	土
2006-05-03	憲法記念日	水
2006-05-04	休日	木
2006-05-05	こどもの日	金
2006-07-17	海の日	月
2006-09-18	敬老の日	月
2006-09-23	秋分の日	土
2006-10-09	体育の日	月
2006-11-03	文化の日	金
2006-11-23	勤労感謝の日	木
2006-12-23	天皇誕生日	土
2007-01-01	元日	月
2007-01-08	成人の日	月
2007-02-11	建国記念の日	日
2007-02-12	休日	月
2007-03-21	春分の日	水
2007-04-29	昭和の日	日
2007-04-30	休日	月
2007-05-03	憲法記念日	木
2007-05-04	みどりの日	金
2007-05-05	こどもの日	土
2007-07-16	海の日	月
2007-09-17	敬老の日	月
2007-09-23	秋分の日	日
2007-09-24	休日	月
2007-10-08	体育の日	月
2007-11-03	文化の日	土
2007-11-23	勤労感謝の日	金
2007-12-23	天皇誕生日	日
2007-12-24	休日	月
2008-01-01	元日	火
2008-01-14	成人の日	月
2008-02-11	建国記念の日	月
2008-03-20	春分の日	木
2008-04-29	昭和の日	火
2008-05-03	憲法記念日	土
2008-05-04	みどりの日	日
2008-05-05	こどもの日	月
2008-05-06	休日	火
2008-07-21	海の日	月
2008-09-15	敬老の日	月
2008-09-23	秋分の日	火
2008-10-13	体育の日	月
2008-11-03	文化の日	月
2008-11-23	勤労感謝の日	日
2008-11-24	休日	月
2008-12-23	天皇誕生日	火
2009-01-01	元日	木
2009-01-12	成人の日	月
2009-02-11	建国記念の日	水
2009-03-20	春分の日	金
2009-04-29	昭和の日	水
2009-05-03	憲法記念日	日
2009-05-04	みどりの日	月
2009-05-05	こどもの日	火
2009-05-06	休日	水
2009-07-20	海の日	月
2009-09-21	敬老の日	月
2009-09-22	休日	火
2009-09-23	秋分の日	水
2009-10-12	体育の日	月
2009-11-03	文化の日	火
2009-11-23	勤労感謝の日	月
2009-12-23	天皇誕生日	水
2010-01-01	元日	金
2010-01-11	成人の日	月
2010-02-11	建国記念の日	木
2010-03-21	春分の日	日
2010-03-22	休日	月
2010-04-29	昭和の日	木
2010-05-03	憲法記念日	月
2010-05-04	みどりの日	火
2010-05-05	こどもの日	水
2010-07-19	海の日	月
2010-09-20	敬老の日	月
2010-09-23	秋分の日	木
2010-10-11	体育の日	月
2010-11-03	文化の日	水
2010-11-23	勤労感謝の日	火
2010-12-23	天皇誕生日	木
2011-01-01	元日	土
2011-01-10	成人の日	月
2011-02-11	建国記念の日	金
2011-03-21	春分の日	月
2011-04-29	昭和の日	金
2011-05-03	憲法記念日	火
2011-05-04	みどりの日	水
2011-05-05	こどもの日	木
2011-07-18	海の日	月
2011-09-19	敬老の日	月
2011-09-23	秋分の日	金
2011-10-10	体育の日	月
2011-11-03	文化の日	木
2011-11-23	勤労感謝の日	水
2011-12-23	天皇誕生日	金
2012-01-01	元日	日
2012-01-02	休日	月
2012-01-09	成人の日	月
2012-02-11	建国記念の日	土
2012-03-20	春分の日	火
2012-04-29	昭和の日	日
2012-04-30	休日	月
2012-05-03	憲法記念日	木
2012-05-04	みどりの日	金
2012-05-05	こどもの日	土
2012-07-16	海の日	月
2012-09-17	敬老の日	月
2012-09-22	秋分の日	土
2012-10-08	体育の日	月
2012-11-03	文化の日	土
2012-11-23	勤労感謝の日	金
2012-12-23	天皇誕生日	日
2012-12-24	休日	月
2013-01-01	元日	火
2013-01-14	成人の日	月
2013-02-11	建国記念の日	月
2013-03-20	春分の日	水
2013-04-29	昭和の日	月
2013-05-03	憲法記念日	金
2013-05-04	みどりの日	土
2013-05-05	こどもの日	日
2013-05-06	休日	月
2013-07-15	海の日	月
2013-09-16	敬老の日	月
2013-09-23	秋分の日	月
2013-10-14	体育の日	月
2013-11-03	文化の日	日
2013-11-04	休日	月
2013-11-23	勤労感謝の日	土
2013-12-23	天皇誕生日	月
2014-01-01	元日	水
2014-01-13	成人の日	月
2014-02-11	建国記念の日	火
2014-03-21	春分の日	金
2014-04-29	昭和の日	火
2014-05-03	憲法記念日	土
2014-05-04	みどりの日	日
2014-05-05	こどもの日	月
2014-05-06	休日	火
2014-07-21	海の日	月
2014-09-15	敬老の日	月
2014-09-23	秋分の日	火
2014-10-13	体育の日	月
2014-11-03	文化の日	月
2014-11-23	勤労感謝の日	日
2014-11-24	休日	月
2014-12-23	天皇誕生日	火
2015-01-01	元日	木
2015-01-12	成人の日	月
2015-02-11	建国記念の日	水
2015-03-21	春分の日	土
2015-04-29	昭和の日	水
2015-05-03	憲法記念日	日
2015-05-04	みどりの日	月
2015-05-05	こどもの日	火
2015-05-06	休日	水
2015-07-20	海の日	月
2015-09-21	敬老の日	月
